ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
5202,1,-39.125142,177.121497,M,gr,138,138,133,133,276,278,255,299,219,269,NA,NA,176,180,NA,NA,227,229
5203,1,-39.123504,177.123148,F,bl,136,144,133,133,264,270,255,287,241,265,NA,NA,198,198,NA,NA,227,229
5204,1,-39.124792,177.121708,F,gr,136,138,139,151,278,278,287,287,239,241,83,89,166,176,228,242,231,231
5205,1,-39.126556,177.120527,M,gr,NA,NA,133,153,NA,NA,255,299,219,241,87,89,166,186,228,248,233,233
5206,1,-39.124132,177.119492,F,gr,NA,NA,133,153,NA,NA,259,259,219,269,75,87,166,176,228,250,235,235
5209,1,-39.12701,177.121955,F,gr,138,138,145,149,270,276,NA,NA,265,269,89,89,164,178,228,228,223,229
5216,1,-39.126477,177.121969,F,gr,138,144,133,133,276,278,NA,NA,NA,NA,75,83,166,166,228,228,229,229
5694,1,-39.124192,177.119565,M,gr,126,144,133,151,266,278,255,255,219,271,75,83,166,196,228,228,235,235
5695,1,-39.12838,177.120982,F,gr,136,138,133,145,270,276,255,255,219,269,85,89,164,186,230,248,223,227
5696,1,-39.127244,177.12022,M,br,126,144,133,133,266,266,255,287,221,271,75,87,176,196,228,228,223,223
5697,1,-39.127427,177.11912,M,bl,136,136,149,149,266,276,255,291,261,269,85,89,166,166,230,248,231,231
5698,1,-39.127079,177.122051,F,gr,136,144,133,133,NA,NA,NA,NA,219,265,75,87,166,166,228,228,231,231
5699,1,-39.126007,177.121756,F,gr,140,144,145,153,NA,NA,NA,NA,219,271,79,89,176,196,228,228,229,235
6503,1,-39.109817,177.165581,F,gr,130,138,133,147,278,278,255,259,241,265,75,91,166,166,228,228,231,231
6505,1,-39.10766,177.166644,F,gr,136,136,133,145,264,266,255,255,257,269,83,87,186,186,228,248,223,231
6506,1,-39.104735,177.161516,F,bl,NA,NA,133,133,NA,NA,NA,NA,NA,NA,83,89,176,186,228,228,227,227
6507,1,-39.108828,177.166749,F,gr,138,138,133,139,258,276,255,255,261,261,85,89,166,176,228,228,223,229
6508,1,-39.10578,177.164506,F,gr,126,130,133,133,264,276,255,255,239,261,83,85,NA,NA,228,248,229,235
6509,1,-39.104713,177.163343,M,gr,138,140,133,145,278,284,255,255,257,261,79,83,178,186,220,228,229,231
6519,1,-39.117486,177.155528,M,gr,130,138,133,133,270,270,255,255,261,261,85,87,166,180,248,248,233,233
6523,1,-39.118736,177.152628,F,gr,136,142,133,133,276,278,NA,NA,269,271,NA,NA,176,186,NA,NA,227,233
6524,1,-39.116029,177.157652,F,br,130,136,133,139,276,284,255,299,249,259,87,89,NA,NA,228,228,223,229
6525,1,-39.115532,177.157449,F,bl,138,138,133,133,270,278,255,255,251,259,89,89,180,186,228,254,227,229
6526,1,-39.126391,177.122115,M,gr,130,138,133,139,258,264,255,255,257,261,85,89,166,186,228,228,223,229
6527,1,-39.124817,177.122751,F,gr,NA,NA,133,139,NA,NA,NA,NA,NA,NA,83,91,166,186,228,248,229,233
6528,1,-39.11473,177.157911,M,br,126,140,NA,NA,276,276,255,259,241,257,83,87,178,180,228,228,229,229
6530,1,-39.12397,177.119737,M,bl,130,138,145,149,276,278,255,255,241,259,89,89,166,176,228,248,229,233
6531,1,-39.115419,177.158808,F,gr,140,140,133,133,276,276,NA,NA,221,221,83,85,164,166,228,242,223,229
6532,1,-39.114075,177.157339,M,gr,136,138,133,133,264,278,255,299,251,257,87,89,166,176,228,228,223,229
6533,1,-39.11518,177.159951,F,gr,136,138,133,133,NA,NA,255,255,261,269,NA,NA,166,178,NA,NA,231,233
7580,1,-39.110932,177.16096,F,bl,136,136,133,133,270,270,255,291,257,267,89,89,NA,NA,228,228,223,229
7583,1,-39.112192,177.162516,M,bl,130,136,133,145,270,284,255,255,257,261,87,89,186,200,228,250,223,229
7584,1,-39.110236,177.16049,F,gr,NA,NA,133,133,NA,NA,NA,NA,NA,NA,89,89,166,176,228,248,231,235
7586,1,-39.113106,177.164655,M,gr,130,130,133,149,278,278,255,259,249,257,83,89,164,186,228,248,229,241
7587,1,-39.111681,177.166664,F,gr,130,144,133,145,NA,NA,255,255,257,259,87,89,180,198,228,228,227,231
7588,1,-39.112427,177.16275,M,gr,NA,NA,133,133,NA,NA,NA,NA,219,249,87,89,166,166,228,248,231,231
7589,1,-39.108529,177.157332,M,br,142,144,133,133,258,278,255,255,NA,NA,83,89,176,186,240,248,223,229
7591,1,-39.109622,177.159041,M,br,126,138,133,133,266,278,255,299,219,239,89,89,176,186,228,238,227,229
7593,1,-39.111441,177.16158,F,bl,138,142,133,133,266,278,255,255,263,267,79,89,166,176,228,228,229,231
7594,1,-39.109151,177.158342,F,bl,138,138,133,133,NA,NA,255,255,221,265,75,83,186,186,220,228,227,231
7595,1,-39.105455,177.166778,F,gr,130,138,133,139,264,270,255,287,257,269,87,87,166,166,228,238,229,231
7597,1,-39.112445,177.163735,F,gr,NA,NA,133,149,260,260,259,259,259,261,87,87,180,182,NA,NA,231,231
7743,1,-39.125056,177.121619,F,gr,NA,NA,145,147,NA,NA,NA,NA,NA,NA,79,87,166,166,228,228,223,231
7746,1,-39.1234,177.123292,M,gr,138,144,133,133,266,278,255,299,219,261,89,89,166,186,228,238,229,229
7747,1,-39.124037,177.119625,M,gr,138,140,133,133,276,278,255,255,221,269,89,89,166,186,228,254,223,229
7748,1,-39.122993,177.121821,F,gr,144,144,133,145,NA,NA,NA,NA,219,249,83,87,166,186,228,248,223,227
7749,1,-39.126391,177.122115,F,gr,130,136,139,147,276,276,255,255,219,221,75,83,180,186,228,248,223,223
7751,1,-39.124035,177.119672,F,bl,NA,NA,133,133,NA,NA,NA,NA,NA,NA,89,89,180,186,228,248,229,229
5211,2,-39.082545,177.090678,F,gr,126,142,133,133,270,276,255,283,257,261,85,89,186,186,228,228,223,223
5212,2,-39.080743,177.095953,M,gr,126,126,NA,NA,276,278,255,287,249,261,83,91,166,198,228,228,231,241
5215,2,-39.08255,177.093317,F,gr,NA,NA,145,145,258,270,255,259,259,265,85,93,NA,NA,NA,NA,NA,NA
5218,2,-39.081491,177.094955,F,gr,126,136,133,145,266,278,255,255,261,265,89,89,NA,NA,NA,NA,NA,NA
5634,2,-39.081653,177.092431,F,gr,138,142,133,133,258,276,NA,NA,257,269,87,89,166,166,228,228,NA,NA
6232,2,-39.071757,177.122032,M,gr,126,138,133,139,278,278,255,299,261,267,89,89,166,186,228,250,227,227
6233,2,-39.070595,177.122229,F,gr,140,144,133,133,278,278,255,255,259,261,85,85,186,186,240,254,227,235
6234,2,-39.07109,177.121761,F,gr,NA,NA,NA,NA,276,276,255,255,NA,NA,81,87,166,166,228,228,NA,NA
6235,2,-39.071173,177.121465,F,gr,136,136,145,147,266,270,255,255,221,269,NA,NA,166,186,228,248,231,233
